id	filename	md5	size	state
00bf547d-6ea9-4f9d-b802-64059dd79e74	00bf547d-6ea9-4f9d-b802-64059dd79e74/TCGA-LUAD.ccc6c7f1-4c39-4be9-8585-f43138f766c9.gene_level_copy_number.tsv	47e7ab4772c212ae0a5935317dff4367	3482275	validated
040ce13e-fa48-4567-867f-f657055db6f0	040ce13e-fa48-4567-867f-f657055db6f0/TCGA-LUAD.3e2f489f-0b9a-4ae1-8d8f-f452e3765146.gene_level_copy_number.tsv	bdbe4b3153384d56cd54f13f9258e0b9	3485184	validated
063c92a0-24cc-4377-8614-7badceae1b11	063c92a0-24cc-4377-8614-7badceae1b11/TCGA-LUAD.246572d8-fe00-4c4a-b68e-27daad6dce5b.gene_level_copy_number.tsv	734e3627b24921be2759cd4061d6bd1e	3483152	validated
065d232d-8203-42b5-98fe-ec70cc9fc0ad	065d232d-8203-42b5-98fe-ec70cc9fc0ad/TCGA-LUAD.220061e7-0ad3-43bc-837e-b1f3614c0d7a.gene_level_copy_number.tsv	27f83a554379722c57e08b22622c8a6f	3483705	validated
0707017a-dcb9-465f-bda6-cc712baedf02	0707017a-dcb9-465f-bda6-cc712baedf02/TCGA-LUAD.e25a3ae1-ee1a-45d6-a945-16b2955fca2e.gene_level_copy_number.tsv	74992ad1b3e53bca86ab11f554918057	3482122	validated
0733619f-0d78-4331-9640-16120a27191b	0733619f-0d78-4331-9640-16120a27191b/TCGA-LUAD.98c94c57-1b01-4a12-9cf4-30161350d987.gene_level_copy_number.tsv	c5c258793ad21ba2805825ce751eec12	3482258	validated
08b8bcd8-18b7-447e-acb2-0785359698bf	08b8bcd8-18b7-447e-acb2-0785359698bf/TCGA-LUAD.604510a8-0c18-4bbb-8bf8-19d283656be2.gene_level_copy_number.tsv	0a500e747f9f78802ccaf05c069648ae	3490032	validated
0955cf38-6565-4744-9970-f43e083b7a50	0955cf38-6565-4744-9970-f43e083b7a50/TCGA-LUAD.83aca67c-5e20-4603-98c1-2e1cbfc2d47d.gene_level_copy_number.tsv	e862f82addf30e07686ba8ebc195a733	3482152	validated
09c2b513-b5a4-45b9-ab91-9cef620a0a11	09c2b513-b5a4-45b9-ab91-9cef620a0a11/TCGA-LUAD.fb8b6601-0148-413a-a37c-34cace07b150.gene_level_copy_number.tsv	c38e0e025c6aaed0d48c3f82dcbe3665	3482108	validated
0acdfcc8-9874-4a00-8a96-d8b0ed7c0ed9	0acdfcc8-9874-4a00-8a96-d8b0ed7c0ed9/TCGA-LUAD.482cf036-d94b-43da-9aee-4952684b4f75.gene_level_copy_number.tsv	51226511e0ae057edce491fcedd9addd	3482409	validated
0be69140-3b54-4f86-9140-0d522989f76e	0be69140-3b54-4f86-9140-0d522989f76e/TCGA-LUAD.40130171-1b88-4786-aa16-143fdfe7d322.gene_level_copy_number.tsv	553e29ce5e324389cd432c90fdb3fa03	3482236	validated
0c25a045-3c71-4ef5-a39f-cb5e6d68ab49	0c25a045-3c71-4ef5-a39f-cb5e6d68ab49/TCGA-LUAD.16dfef7d-79d8-4f62-bfeb-d7e4c2854957.gene_level_copy_number.tsv	e5bba90b13827246ba40f7afeb649f79	3482595	validated
0d955cfc-8a02-44ad-9b5e-27e017d79950	0d955cfc-8a02-44ad-9b5e-27e017d79950/TCGA-LUAD.87955ed6-ac59-4b94-8c8a-90b6a71860ab.gene_level_copy_number.tsv	d06c6a61390c8cbf2d9b224520bbd1d4	3482254	validated
0dbcc6bf-1290-4444-b485-f153f19623d9	0dbcc6bf-1290-4444-b485-f153f19623d9/TCGA-LUAD.0a89d832-126a-46b9-b981-229eb0309986.gene_level_copy_number.tsv	509df9d0c79dcf269e7fd94266577965	3482591	validated
0e269cc8-0e37-4d73-bb82-748e624bdfc7	0e269cc8-0e37-4d73-bb82-748e624bdfc7/TCGA-LUAD.a4853c7f-8d1e-4281-813d-ddf6e9c7c44e.gene_level_copy_number.tsv	f9888d31dedf523098daefe529b62cf8	3484288	validated
0eddcdbe-b7f8-475f-a228-2ad9464eb0e2	0eddcdbe-b7f8-475f-a228-2ad9464eb0e2/TCGA-LUAD.63ea056f-0145-48eb-8c8a-2409941139c8.gene_level_copy_number.tsv	699fd105fd5e8bb27f43abd361d7ac47	3482149	validated
0f3e4a3b-b4d5-466a-9fb1-f751ee1b144e	0f3e4a3b-b4d5-466a-9fb1-f751ee1b144e/TCGA-LUAD.bee7099d-6443-47c1-8043-16f39774c0fe.gene_level_copy_number.tsv	7398a755b03e1800c8386f9a4a49b7ed	3482239	validated
12c95a5a-8206-4391-95f2-07cd854de6c0	12c95a5a-8206-4391-95f2-07cd854de6c0/TCGA-LUAD.4f029a87-5cb5-4af6-9395-eb4d8e12319f.gene_level_copy_number.tsv	908e807cd06e32040d49007e0841df35	3482245	validated
12ed8133-05fe-4249-afa7-c635243b2b86	12ed8133-05fe-4249-afa7-c635243b2b86/TCGA-LUAD.aa153556-d066-45cb-a8bb-16ea9d217a0d.gene_level_copy_number.tsv	06d1398c5836836392b4729563175902	3482626	validated
13041c3f-f966-4ddd-a3d9-bac9e952f6cb	13041c3f-f966-4ddd-a3d9-bac9e952f6cb/TCGA-LUAD.a22ce15f-8235-43ac-8e1e-9a4a04e45d28.gene_level_copy_number.tsv	12e72c0f2fce01cddfbe82e3d89ddc66	3482254	validated
145f444b-2e87-488c-8bcd-076d7b2e208a	145f444b-2e87-488c-8bcd-076d7b2e208a/TCGA-LUAD.c587d2b5-71e6-4900-b596-79c928f365f4.gene_level_copy_number.tsv	9add886a8d02f0142177a7b4fdb06971	3482266	validated
1470fb30-bb0d-48c5-8255-5b72ede497cb	1470fb30-bb0d-48c5-8255-5b72ede497cb/TCGA-LUAD.a2f0216d-805b-41a9-b0b5-4de39ee97701.gene_level_copy_number.tsv	49ad300c85d9c85b8b44cde260bf4cd3	3482302	validated
1514ad80-de6b-43ed-92a3-fc8a27dfa470	1514ad80-de6b-43ed-92a3-fc8a27dfa470/TCGA-LUAD.058a3f72-41b3-450a-8a8e-df122d532517.gene_level_copy_number.tsv	d4fcd2e98b90169f08358f7555f547ee	3482272	validated
180d9879-1f26-4838-8955-c6500df9e3a3	180d9879-1f26-4838-8955-c6500df9e3a3/TCGA-LUAD.ab63abc0-c4a9-4d54-add0-078d7f1ceec7.gene_level_copy_number.tsv	36fae3f731d326c2d5445b622fcd1a5d	3482439	validated
1961eed9-c70a-4ba1-bce6-5b9b4c84f25c	1961eed9-c70a-4ba1-bce6-5b9b4c84f25c/TCGA-LUAD.7bbc5291-ea7a-4ce9-baa4-7a30a079eace.gene_level_copy_number.tsv	ea1a54111d78b18cd059b739e2e71ab2	3482238	validated
19744db3-564e-4d6c-8c33-2fc39c2d77ea	19744db3-564e-4d6c-8c33-2fc39c2d77ea/TCGA-LUAD.f5c2f87f-c4c6-4902-9cd4-9faf00760a33.gene_level_copy_number.tsv	ae17ff11f38825d650b7c300c5ddc04c	3486216	validated
1a6466a0-90b4-4b0e-b941-eb462b797eb1	1a6466a0-90b4-4b0e-b941-eb462b797eb1/TCGA-LUAD.a2c53253-9fe9-4184-91c0-07183e51ddcf.gene_level_copy_number.tsv	c56d8ce6d2e41904a5f93c1e04b8d42a	3483211	validated
